Groningen Municipality level migration,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
regio van aankomst,Appingedam,0,2,12,227,13,120,1,8,12,5,34,1,1,6,,15,3,27,8,13,3,,4,1,
,Bedum,10,,0,21,6,7,196,4,8,14,4,19,4,1,2,,6,1,10,0,3,0,,30,3
,Bellingwedde,2,1,,0,12,2,90,5,8,16,0,0,6,3,9,,171,36,5,42,19,56,,2,9
,Ten Boer,8,21,1,,9,10,129,3,3,15,2,20,1,0,9,,1,0,18,0,2,2,,1,3
,Delfzijl,286,13,7,7,,34,320,5,14,32,21,42,5,4,25,,93,17,35,15,19,11,,9,2
,Eemsmond,21,30,3,6,24,,167,5,7,20,6,70,20,2,5,,10,0,7,5,6,1,,48,8
,Groningen,82,243,43,179,171,136,,69,912,433,324,104,75,100,78,,230,42,343,119,196,50,,200,417
,Grootegast,2,0,0,0,6,2,79,,4,5,58,0,3,79,2,,7,0,4,1,3,0,,0,58
,Haren,8,6,5,5,8,15,439,9,,27,8,5,7,3,6,,22,5,20,10,10,2,,14,19
,Hoogezand-Sappemeer,18,8,9,8,36,9,365,5,32,,20,5,2,5,79,,53,19,114,30,110,5,,2,3
,Leek,6,2,0,0,1,4,291,39,10,24,,9,4,104,1,,15,1,2,5,7,1,,9,31
,Loppersum,45,19,3,26,38,60,130,3,6,12,8,,12,10,1,,9,2,10,4,2,5,,19,3
,De Marne,0,9,0,1,8,22,90,2,4,1,5,9,,0,2,,6,2,3,1,4,0,,85,13
,Marum,1,0,0,0,0,5,102,48,2,9,108,2,1,,0,,3,0,1,0,0,0,,3,11
,Menterwolde,5,0,12,0,18,1,85,0,6,93,1,2,0,0,,,55,23,19,7,167,6,,2,1
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,
