from,to,Migration,year,gemeente fromnaamvolledig,provincie from
De.Friese.Meren,Appingedam,NA,2011,De Friese Meren,Friesland
De.Fryske.Marren,Appingedam,NA,2011,De Fryske Marren,Friesland
Gaasterlân.Sleat,Appingedam,0,2011,Gaasterlân Sleat,Friesland
Groningen,Appingedam,58,2011,Groningen,Groningen
Grootegast,Appingedam,1,2011,Grootegast,Groningen
Haren,Appingedam,2,2011,Haren,Groningen
Harlingen,Appingedam,1,2011,Harlingen,Friesland
Heerenveen,Appingedam,0,2011,Heerenveen,Friesland
Hoogeveen,Appingedam,1,2011,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Appingedam,5,2011,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Appingedam,0,2011,Kollumerland en Nieuwkruisland,Friesland
Leek,Appingedam,3,2011,Leek,Groningen
Leeuwarden,Appingedam,3,2011,Leeuwarden,Friesland
Leeuwarderadeel,Appingedam,0,2011,Leeuwarderadeel,Friesland
Lemsterland,Appingedam,0,2011,Lemsterland,Friesland
Littenseradiel,Appingedam,1,2011,Littenseradiel,Friesland
Loppersum,Appingedam,45,2011,Loppersum,Groningen
De.Marne,Appingedam,3,2011,De Marne,Groningen
Marum,Appingedam,0,2011,Marum,Groningen
Menameradiel,Appingedam,0,2011,Menameradiel,Friesland
Menterwolde,Appingedam,6,2011,Menterwolde,Groningen
Meppel,Appingedam,0,2011,Meppel,Drenthe
Midden.Drenthe,Appingedam,0,2011,Midden Drenthe,Drenthe
Midden.Groningen,Appingedam,NA,2011,Midden Groningen,Groningen
Noordenveld,Appingedam,2,2011,Noordenveld,Drenthe
Oldambt,Appingedam,7,2011,Oldambt,Groningen
Ooststellingwerf,Appingedam,1,2011,Ooststellingwerf,Friesland
Opsterland,Appingedam,0,2011,Opsterland,Friesland
Pekela,Appingedam,8,2011,Pekela,Groningen
Schiermonnikoog,Appingedam,0,2011,Schiermonnikoog,Friesland
Skarsterlân,Appingedam,0,2011,Skarsterlân,Friesland
Slochteren,Appingedam,31,2011,Slochteren,Groningen
Smallingerland,Appingedam,1,2011,Smallingerland,Friesland
Stadskanaal,Appingedam,1,2011,Stadskanaal,Groningen
