https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,Midden-Drenthe,25,0,0,0,238,3,2,0,6,1,21,20,0,0,1,0,25,0,0,,,2,150,1,0,1,7,88,6,1,3,6,0,0,0,1,1,5,0,0,10,,,11,5,38,0,0,0,2,3,3,6,5,1,14,2,7,9,0,,12,,4,1,31,2
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noordenveld,16,3,1,2,87,4,1,2,0,3,2,0,1,2,2,1,18,0,1,,,0,320,9,23,2,0,12,17,4,94,18,1,0,1,6,10,20,1,3,5,17,,,7,29,10,2,0,1,0,13,10,6,0,37,4,5,9,1,,5,,3,3,2,7
,Oldambt,15,3,1,7,43,3,86,2,0,3,4,1,0,69,3,11,21,0,0,,,1,290,3,10,1,1,9,57,0,11,17,1,0,1,11,0,2,0,51,3,3,,10,,2,7,139,0,1,15,4,60,8,1,24,1,91,31,3,,3,,1,7,2,4
,Ooststellingwerf,4,14,2,1,54,1,0,0,7,0,1,5,2,0,2,0,13,3,5,,,1,97,3,1,3,46,4,2,4,35,45,2,2,1,0,3,5,4,0,8,58,,24,0,,65,0,0,8,0,62,2,4,0,8,15,2,1,0,,12,,49,0,3,2
,Opsterland,1,25,1,0,5,0,0,2,28,0,1,0,4,0,9,1,4,1,6,,,0,139,6,10,4,138,2,3,12,13,67,4,3,7,0,1,20,8,1,7,1,,23,6,69,,1,0,21,1,265,1,25,1,2,16,1,0,1,,6,,15,1,3,0
,Pekela,9,0,0,8,10,3,43,1,2,1,8,3,3,12,1,1,12,1,1,,,0,67,2,1,0,0,1,16,1,1,8,0,3,0,2,1,0,0,16,0,1,,5,134,0,0,,0,0,8,2,47,1,0,8,0,70,27,0,,0,,2,0,0,1
,Schiermonnikoog,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,1,0,,,0,9,0,1,1,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,,0,0,0,1,0,,0,0,0,0,1,0,1,1,0,0,0,,0,,0,1,0,8
,Skarsterlân,6,0,1,0,1,1,1,3,27,0,1,8,0,0,3,0,3,1,4,,,18,102,0,0,2,185,1,1,2,1,55,5,13,3,0,1,5,2,0,3,1,,1,0,5,20,0,0,,0,28,1,83,3,1,5,1,0,0,,6,,18,1,3,1
,Slochteren,6,1,0,31,8,1,5,0,0,15,5,0,0,38,2,10,5,0,1,,,0,179,0,9,0,0,0,102,1,3,5,0,0,0,6,5,0,0,14,0,9,,6,24,0,4,1,1,0,,5,3,5,0,17,0,6,2,0,,1,,0,2,0,4
,Smallingerland,3,84,1,1,18,3,4,15,30,2,3,6,25,22,27,0,5,5,19,,,4,276,16,3,12,75,11,7,17,18,200,12,5,10,2,0,12,8,0,3,6,,6,8,82,242,0,0,16,0,,4,44,1,2,110,3,12,2,,4,,30,0,1,8
,Stadskanaal,39,1,0,1,33,2,15,1,1,1,198,7,0,6,3,1,69,0,1,,,0,179,4,6,0,0,9,18,0,4,24,0,0,0,3,3,3,0,9,4,6,,3,55,4,0,33,1,4,5,6,,2,1,12,1,34,118,0,,1,,1,3,5,1
,Súdwest-Fryslân,2,13,3,1,13,1,3,11,83,0,0,2,8,3,13,1,13,7,65,,,78,229,2,1,65,65,2,1,3,3,261,8,31,69,2,1,0,24,0,3,3,,6,8,8,23,5,0,114,1,72,11,,9,11,23,3,0,2,,4,,14,2,1,3
